year,brand,margin,roe,liquidity,gearing,employees,perf_index,gdp_millions_cvm,unemployment_rate,bank_rate_eoy,cpih_clothing_index_avg,retail_tcf_avg_weekly_thou
2006,Burberry,21.13339615,37.71318761,0.878420641,33.85928608,4651,0.348683791,2085162,5.380634174,5,116.0069167,770267.9833
2007,Burberry,18.38174762,37.27641307,0.828995157,39.45578231,5218,0.180601171,2139895,5.361001704,5.5,111.6675,804265.8667
2008,Burberry,19.66043802,37.85299807,0.733149931,43.10518877,5660,0.169655463,2134571,5.57653118,2,104.3005833,827500.65
2009,Burberry,-1.339991677,-2.781136638,0.87746891,51.42489428,6208,-1.428595082,2035942,7.496819952,0.5,96.211,872708.9833
2010,Burberry,12.96976326,26.0269677,1.195894779,39.88400994,5608,-0.058770625,2081411,7.864334514,,95.24066667,918575.1708
2011,Burberry,19.69626324,35.62221419,1.164514318,36.09104539,6681,0.395871686,2105105,8.058810671,,97.4485,921532.6292
2012,Burberry,19.70708594,36.10179523,1.195878016,37.1326004,7991,0.418038573,2136871,8.029569772,,98.26058333,922708.975
2013,Burberry,17.54640516,29.65249007,1.09228039,24.66755319,8867,0.209960271,2175333,7.639081714,,99.1825,930906.675
2014,Burberry,19.07459868,33.31833858,1.251385151,22.25165563,9698,0.442830188,2244827,6.313899165,,99.67,967996.4292
2015,Burberry,17.62048193,27.92012057,1.545110193,14.19910438,10309,0.477380008,2294727,5.421034614,,100.0000833,1004221.25
2016,Burberry,16.52682229,23.41012787,1.870500928,12.70281942,10181,0.527668077,2338825,4.932216814,0.25,100.1670833,984886.5792
2017,Burberry,14.27331887,21.3601688,2.005485755,11.09082342,9828,0.48226262,2400956,4.426258878,0.5,102.64025,1020655.533
2018,Burberry,15.09806792,24.70510748,2.043588352,18.79472429,9752,0.564196485,2434694,4.111748158,0.75,103.4864167,1017510.133
2019,Burberry,16.19733843,26.0386502,1.786439619,18.44520548,9862,0.494714556,2474245,3.843384323,,102.5859167,1046110.417
2020,Burberry,6.399301204,6.57766327,1.69486653,131.2766656,9892,-0.905877272,2219474,4.486067911,0.1,101.16475,779661.3333
2021,Burberry,20.91386151,17.51089519,2.248292544,95.85817786,9234,0.350194043,2409815,4.63219928,0.25,101.4408333,882599.575
